Category,Store,Product,Price
Health and Beauty,Woolworths,Tresemme Professional Salon Silk 900ml,7
Health and Beauty,Coles,Tresemme Professional Salon Silk 900ml,5.25
Health and Beauty,Woolworths,Tresemme Botanique Restore & Shine 390ml,7
Health and Beauty,Coles,Tresemme Botanique Restore & Shine 390ml,6.3
Health and Beauty,Woolworths,Tresemme Salon Sil Conditioner 900ml,7
Health and Beauty,Coles,Tresemme Salon Sil Conditioner 900ml,5.25
Health and Beauty,Woolworths,Tresemme Beauty Volume Mousse 200ml,8
Health and Beauty,Coles,Tresemme Beauty Volume Mousse 200ml,8.79
Health and Beauty,Woolworths,Tresemme Extra hold hair spray 360g,8.25
Health and Beauty,Coles,Tresemme Extra hold hair spray 360g,9.02
Health and Beauty,Woolworths,Dove Hair Therapy Daily Shampoo 320ml,7
Health and Beauty,Coles,Dove Hair Therapy Daily Shampoo 320ml,7.58
Health and Beauty,Woolworths,Dove Shampoo Oil Care 640ml,12
Health and Beauty,Coles,Dove Shampoo Oil Care 640ml,13.08
Health and Beauty,Woolworths,Dove Revive Pomegranate Body Wash 1L,13.7
Health and Beauty,Coles,Dove Revive Pomegranate Body Wash 1L,15.07
Health and Beauty,Woolworths,Dove Men's 2 in 1 Daily deep 300ml,6.75
Health and Beauty,Coles,Dove Men's 2 in 1 Daily deep 300ml,7.14
Health and Beauty,Woolworths,Dove Intensive Repair Conditioner 640ml,12
Health and Beauty,Coles,Dove Intensive Repair Conditioner 640ml,13.08
Health and Beauty,Woolworths,Pantene Always smooth 350ml,7
Health and Beauty,Coles,Pantene Always smooth 350ml,7.69
Health and Beauty,Woolworths,Head & Shoulders Clean and Balanced Shampoo 200ml,6.4
Health and Beauty,Coles,Head & Shoulders Clean and Balanced Shampoo 200ml,7.04
Health and Beauty,Woolworths,Head & Shoulders Smooth and Silky Conditioner 400ml,12.5
Health and Beauty,Coles,Head & Shoulders Smooth and Silky Conditioner 400ml,13.75
Health and Beauty,Woolworths,Head & Shoulders 2 in 1 shampoo conditioner 350ml,12.5
Health and Beauty,Coles,Head & Shoulders 2 in 1 shampoo conditioner 350ml,13.75
Health and Beauty,Woolworths,L'oreal Face Care Men Expert Moisturiser 50ml,17
Health and Beauty,Coles,L'oreal Face Care Men Expert Moisturiser 50ml,17.55
Health and Beauty,Woolworths,L'oreal Elvive Extraordinary oil Shampoo 250ml,6
Health and Beauty,Coles,L'oreal Elvive Extraordinary oil Shampoo 250ml,6.6
Health and Beauty,Woolworths,L'oreal Elvive Fibralogy Shampoo 250ml,6
Health and Beauty,Coles,L'oreal Elvive Fibralogy Shampoo 250ml,6.55
Health and Beauty,Woolworths,L'oreal Elvive Total Repair Conditioner 250ml,6
Health and Beauty,Coles,L'oreal Elvive Total Repair Conditioner 250ml,6.55
Health and Beauty,Woolworths,Garnier BB Cream Anti Age Light 50ml,14.99
Health and Beauty,Coles,Garnier BB Cream Anti Age Light 50ml,17.33
Health and Beauty,Woolworths,Garnier Fructis Shampoo Normal Hair 250ml,2.72
